Run 14989
Subrun 399
Event 3990012
Cluster 0
24.924 15.45 37.25
24.924 15.45 41.75
24.924 17.85 41.75
25.1361 13.35 42.05
25.1361 15.75 42.05
27.4692 17.85 41.15
24.5577 15.15 36.65
24.5577 15.15 41.15
24.1913 14.85 40.55
27.0836 17.55 45.05
23.9021 14.55 40.25
26.8136 17.25 44.75
24.4613 15.45 40.25
24.4613 15.45 44.75
23.3622 13.95 39.35
26.3123 16.65 43.85
26.0424 13.95 43.55
26.0424 16.35 43.55
26.1002 14.25 43.55
26.1002 16.65 43.55
24.307 14.85 40.85
24.307 14.85 45.35
25.7146 13.35 44.45
25.7146 15.75 44.45
25.811 13.65 44.45
25.811 16.05 44.45
25.9267 13.95 44.45
25.9267 16.35 44.45
26.293 14.55 44.45
26.293 16.95 44.45
26.698 17.25 44.45
24.6541 15.45 39.95
24.6541 15.45 44.45
23.6322 14.25 39.65
26.4666 16.95 44.15
23.0344 13.65 38.75
25.8881 13.95 43.25
25.8881 16.35 43.25
22.8031 13.35 38.45
25.7532 13.95 42.95
25.7532 16.35 42.95
22.456 15.45 37.85
25.5025 13.65 42.65
25.5025 16.05 42.65
22.7259 13.35 38.15
Cluster 1
7.49339 -1.65 14.75
16.5365 7.05 28.25
13.5864 1.95 19.25
13.5864 4.35 23.75
12.1596 1.95 19.25
7.99472 -2.85 14.75
7.99472 -0.45 14.75
10.3664 -0.75 14.75
10.3664 1.65 14.75
7.03063 -3.15 14.75
8.47676 -0.75 14.75
8.47676 1.65 14.75
6.89566 -3.45 14.75
8.90096 -1.05 14.75
8.90096 1.35 14.75
7.70549 -1.35 15.05
7.70549 1.05 15.05
16.7293 7.35 28.55
11.0991 0.15 15.05
11.0991 2.55 15.05
11.0991 2.55 19.55
13.9528 4.65 24.05
10.1157 -0.15 15.05
10.1157 2.25 15.05
11.2726 -0.45 15.05
11.2726 1.95 15.05
11.2726 1.95 19.55
8.6503 -0.45 15.05
8.6503 1.95 15.05
10.1735 -0.45 15.05
10.1735 1.95 15.05
8.14897 -2.85 15.05
8.14897 -0.45 15.05
8.14897 1.95 15.05
10.5206 -0.75 15.05
10.5206 1.65 15.05
10.5206 1.65 19.55
8.63101 -0.75 15.05
8.63101 1.65 15.05
6.25937 -1.35 14.15
9.86504 1.05 14.15
9.86504 3.45 14.15
8.36107 0.15 14.15
8.36107 2.55 14.15
10.5785 -0.15 14.15
10.5785 2.25 14.15
10.5785 2.25 18.65
16.1894 6.75 27.65
13.4129 1.65 18.65
13.4129 4.05 23.15
8.30322 -1.05 14.15
8.30322 1.35 14.15
10.7327 -1.05 14.15
10.7327 1.35 14.15
10.7327 1.35 18.65
13.1236 1.35 18.65
13.1236 3.75 23.15
6.51003 -1.35 14.45
7.35842 -1.65 14.45
8.45748 0.15 14.45
8.45748 2.55 14.45
16.3823 7.05 27.95
10.7327 -0.15 14.45
10.7327 2.25 14.45
10.7327 2.25 18.95
13.6443 1.95 18.95
13.6443 4.35 23.45
7.87903 -2.85 14.45
7.87903 -0.45 14.45
12.0439 1.65 18.95
8.39963 -0.75 14.45
8.39963 1.65 14.45
10.9448 -0.75 14.45
10.9448 1.65 14.45
10.9448 1.65 18.95
13.3936 1.65 18.95
13.3936 4.05 23.45
10.0386 -1.05 14.45
10.0386 1.35 14.45
10.1928 -1.05 14.45
10.1928 1.35 14.45
8.55389 -1.05 14.45
8.55389 1.35 14.45
12.8344 1.35 22.55
13.0658 1.35 22.55
13.0658 3.75 27.05
15.8038 4.05 27.05
10.3856 -0.15 18.05
10.3856 2.25 18.05
9.40228 0.75 18.05
9.40228 3.15 18.05
10.3664 1.05 18.05
10.3664 3.45 18.05
11.6775 1.05 18.05
11.6775 3.45 22.55
12.7766 3.45 22.55
6.08583 -1.35 18.05
15.611 3.75 26.75
10.3278 -0.15 17.75
10.3278 2.25 17.75
9.15162 0.45 17.75
9.15162 2.85 17.75
9.57582 0.75 17.75
9.57582 3.15 17.75
10.1543 0.75 17.75
10.1543 3.15 17.75
12.603 3.45 22.25
12.8537 3.45 22.25
17.8669 6.15 30.35
9.34444 -0.75 16.85
9.34444 1.65 16.85
10.1735 -0.45 16.85
10.1735 1.95 16.85
8.53461 -0.15 16.85
8.53461 2.25 16.85
9.01665 0.15 16.85
9.01665 2.55 16.85
11.8511 0.45 16.85
11.8511 2.85 21.35
9.69151 0.45 16.85
9.69151 2.85 16.85
11.2533 0.45 16.85
11.2533 2.85 16.85
11.2533 2.85 21.35
15.0133 5.55 25.85
5.43025 -1.65 16.85
12.1596 3.15 21.35
15.1675 5.85 25.85
9.30587 -1.05 16.55
9.30587 1.35 16.55
10.0579 -0.45 16.55
10.0579 1.95 16.55
8.36107 -0.45 16.55
8.36107 1.95 16.55
12.2753 2.25 21.05
8.78527 -0.15 16.55
8.78527 2.25 16.55
